gamer	warps	games	nights	wins	nights_won	cfbs	high_night
Three-Petal-Flower	420	73	13	30	7	1	59
Cherry	400	85	17	23	2	0	49
Chessboard	309	95	20	4	1	0	29
Nested-Triangles	237	51	12	7	3	1	34
Pawn	236	50	14	9	3	1	34
Triangle-K	225	56	13	5	1	1	28
Joint-in-Circle	217	42	7	11	3	1	42
Math	201	39	9	9	3	1	47
Bat	154	34	7	5	1	1	35
Rat-in-Box	152	44	8	3	1	0	33
Script-S	145	40	9	2	0	1	26
Omega-Infinity	129	35	10	2	0	0	33
Square-Two-Lines	127	37	8	1	0	0	24
III	116	30	7	2	0	0	25
Ironman	113	29	12	4	1	1	26
Spiral-in-Square	100	22	8	4	0	0	37
Spiral-With-Lines	86	18	4	2	1	1	30
Pentagram	82	23	4	2	0	0	30
77K	79	17	4	2	1	1	24
Fish-in-Balloon	67	23	8	0	0	0	20
Nose-Ring	54	13	4	0	0	0	25
Apple-K	44	13	6	0	0	0	11
Lightning-Bolt-DM	44	12	7	2	0	0	17
SD3	42	13	4	1	0	0	19
Chinese-Characters-Windows	41	8	4	2	1	0	23
Rhombus-4	38	13	5	0	0	0	12
Umlaut	38	11	6	1	0	0	15
Triode	38	9	6	1	0	0	11
Russian-Tetris-R	36	11	3	0	0	0	17
Rook	34	13	4	0	0	0	17
Striped-Top-Hat	32	11	5	0	0	0	9
Blade	26	5	2	1	0	0	14
Underwater-Lightning-Bolt	24	4	2	2	0	0	14
Four-Linked-Circles	24	6	3	0	0	0	12
Power	21	7	1	0	0	0	21
Cat	21	7	2	0	0	0	14
Semicolon	21	4	2	1	0	0	13
Tentacle	20	7	2	0	0	0	13
Smiley-Face-Fangs	20	6	2	0	0	0	12
C-Dot	20	4	2	1	0	0	11
Crosshatch	19	6	3	0	0	0	11
Block-Eagle	18	5	2	0	0	0	10
Ankh-Butterfly	18	5	2	0	0	0	10
Salt-Shaker	17	6	2	0	0	0	14
Amoeba	17	8	4	0	0	0	8
Snow-Capped-Mountain	17	8	3	0	0	0	11
Swallow-in-Circle	16	5	1	0	0	0	16
Duck	16	7	3	0	0	0	6
Drunken-Monkey	16	4	1	0	0	0	16
Flashlight	15	3	1	1	0	0	15
Three-Loop-Knot	15	3	2	1	0	0	13
Two-Diamonds	14	5	3	0	0	0	6
Big-Nose-Guy	14	1	1	1	0	1	14
Chaos-Circle	13	2	1	1	0	0	13
Backwards-Aum	13	5	1	0	0	0	13
DWPA	12	4	1	0	0	0	12
Square-Hexagon	12	1	1	1	0	1	12
8-Ball	12	2	1	1	0	0	12
Not-OK	11	2	1	1	0	0	11
Pirate-Hat	11	3	1	0	0	0	11
Flower-E	11	2	1	1	0	0	11
V-With-Plus-Signs	11	3	1	0	0	0	11
Yield-Sign	9	2	1	0	0	0	9
T-Pi	9	3	2	0	0	0	5
Nazi-Fetus	9	2	1	1	0	0	9
Paw	9	4	1	0	0	0	9
New-Hammer-and-Sickle	8	2	1	0	0	0	8
L-Hat	8	3	1	0	0	0	8
Bread	8	2	2	0	0	0	4
Guy-Holding-Stick	8	2	1	0	0	0	8
Nu-Delta	8	2	1	0	0	0	8
Slanted-Anarchy	7	2	1	0	0	0	7
THA-Octagon	7	2	1	0	0	0	7
Braces-W	7	4	2	0	0	0	4
NPN-Transistor	7	2	1	0	0	0	7
Circle-Tien	7	2	1	0	0	0	7
Fedora	6	2	1	0	0	0	6
Tulip-Man	6	2	1	0	0	0	6
Hedgehog	6	1	1	0	0	0	6
Cat-With-Balls	6	2	1	0	0	0	6
Volleyball-Hawaii	6	2	1	0	0	0	6
Three-Vertical-Two-Diagonal	5	2	1	0	0	0	5
Triangle-With-Loops	5	2	1	0	0	0	5
Y-Cumming-on-H	5	4	1	0	0	0	5
BY	5	2	1	0	0	0	5
Cloverleaf-in-Circle	5	3	1	0	0	0	5
Circle-Infinity	5	2	1	0	0	0	5
Chick	4	2	1	0	0	0	4
AL	4	1	1	0	0	0	4
Glass-Line	4	1	1	0	0	0	4
Smiley-Face-Horns	4	1	1	0	0	0	4
V-Lines-Dot	4	1	1	0	0	0	4
Ns	4	1	1	0	0	0	4
Asterisk-Spiral	4	1	1	0	0	0	4
Crawfish	4	2	1	0	0	0	4
Copyright-Trademark	4	1	1	0	0	0	4
Cotton-Candy	4	1	1	0	0	0	4
Spiral-over-Spiral	4	1	1	0	0	0	4
Flaming-J	3	2	1	0	0	0	3
DK	3	1	1	0	0	0	3
Three-Blob	3	1	1	0	0	0	3
Spiral-Stars	3	1	1	0	0	0	3
Squiggle-in-Box	3	2	1	0	0	0	3
Circle-Plus	3	3	1	0	0	0	3
Flaming-Heart	2	2	1	0	0	0	2
Three-Circles-in-Circle	2	2	1	0	0	0	2
Football	2	1	1	0	0	0	2
Hexagon-E	2	1	1	0	0	0	2
JB	2	1	1	0	0	0	2
Circle-J	1	1	1	0	0	0	1
Bread-Under-Rainbow	1	1	1	0	0	0	1
P-Thorn	1	2	1	0	0	0	1
Dragonlady	1	2	1	0	0	0	1
Ramen	1	1	1	0	0	0	1
Delta-Vector	0	1	1	0	0	0	0
Asian-Hat	0	1	1	0	0	0	0
